baseline,scope,MAE,MAPE,RMSE,ZoneID
persistence,overall,0.0,0.0,0.0,
climatology,overall,35.787574637460594,3578757463.74606,36.040122094233,
persistence,per-zone,0.0,0.0,0.0,BLR-0001
persistence,per-zone,0.0,0.0,0.0,BLR-0002
persistence,per-zone,0.0,0.0,0.0,BLR-0003
persistence,per-zone,0.0,0.0,0.0,BLR-0004
persistence,per-zone,0.0,0.0,0.0,BLR-0005
persistence,per-zone,0.0,0.0,0.0,BLR-0006
persistence,per-zone,0.0,0.0,0.0,BLR-0007
persistence,per-zone,0.0,0.0,0.0,BLR-0008
persistence,per-zone,0.0,0.0,0.0,BLR-0009
persistence,per-zone,0.0,0.0,0.0,BLR-0010
persistence,per-zone,0.0,0.0,0.0,BLR-0011
persistence,per-zone,0.0,0.0,0.0,BLR-0012
persistence,per-zone,0.0,0.0,0.0,BLR-0013
persistence,per-zone,0.0,0.0,0.0,BLR-0014
persistence,per-zone,0.0,0.0,0.0,BLR-0015
persistence,per-zone,0.0,0.0,0.0,BLR-0016
persistence,per-zone,0.0,0.0,0.0,BLR-0017
persistence,per-zone,0.0,0.0,0.0,BLR-0018
persistence,per-zone,0.0,0.0,0.0,BLR-0019
persistence,per-zone,0.0,0.0,0.0,BLR-0020
persistence,per-zone,0.0,0.0,0.0,BLR-0021
persistence,per-zone,0.0,0.0,0.0,BLR-0022
persistence,per-zone,0.0,0.0,0.0,BLR-0023
persistence,per-zone,0.0,0.0,0.0,BLR-0024
persistence,per-zone,0.0,0.0,0.0,BLR-0025
persistence,per-zone,0.0,0.0,0.0,BLR-0026
persistence,per-zone,0.0,0.0,0.0,BLR-0027
persistence,per-zone,0.0,0.0,0.0,BLR-0028
persistence,per-zone,0.0,0.0,0.0,BLR-0029
persistence,per-zone,0.0,0.0,0.0,BLR-0030
persistence,per-zone,0.0,0.0,0.0,BLR-0031
persistence,per-zone,0.0,0.0,0.0,BLR-0032
persistence,per-zone,0.0,0.0,0.0,BLR-0033
persistence,per-zone,0.0,0.0,0.0,BLR-0034
persistence,per-zone,0.0,0.0,0.0,BLR-0035
persistence,per-zone,0.0,0.0,0.0,BLR-0036
persistence,per-zone,0.0,0.0,0.0,BLR-0037
persistence,per-zone,0.0,0.0,0.0,BLR-0038
persistence,per-zone,0.0,0.0,0.0,BLR-0039
persistence,per-zone,0.0,0.0,0.0,BLR-0040
persistence,per-zone,0.0,0.0,0.0,BLR-0041
persistence,per-zone,0.0,0.0,0.0,BLR-0042
persistence,per-zone,0.0,0.0,0.0,BLR-0043
persistence,per-zone,0.0,0.0,0.0,BLR-0044
persistence,per-zone,0.0,0.0,0.0,BLR-0045
persistence,per-zone,0.0,0.0,0.0,BLR-0046
persistence,per-zone,0.0,0.0,0.0,BLR-0047
persistence,per-zone,0.0,0.0,0.0,BLR-0048
persistence,per-zone,0.0,0.0,0.0,BLR-0049
persistence,per-zone,0.0,0.0,0.0,BLR-0050
persistence,per-zone,0.0,0.0,0.0,BLR-0051
persistence,per-zone,0.0,0.0,0.0,BLR-0052
persistence,per-zone,0.0,0.0,0.0,BLR-0053
persistence,per-zone,0.0,0.0,0.0,BLR-0054
persistence,per-zone,0.0,0.0,0.0,BLR-0055
persistence,per-zone,0.0,0.0,0.0,BLR-0056
persistence,per-zone,0.0,0.0,0.0,BLR-0057
persistence,per-zone,0.0,0.0,0.0,BLR-0058
persistence,per-zone,0.0,0.0,0.0,BLR-0059
persistence,per-zone,0.0,0.0,0.0,BLR-0060
persistence,per-zone,0.0,0.0,0.0,BLR-0061
persistence,per-zone,0.0,0.0,0.0,BLR-0062
persistence,per-zone,0.0,0.0,0.0,BLR-0063
persistence,per-zone,0.0,0.0,0.0,BLR-0064
persistence,per-zone,0.0,0.0,0.0,BLR-0065
persistence,per-zone,0.0,0.0,0.0,BLR-0066
persistence,per-zone,0.0,0.0,0.0,BLR-0067
persistence,per-zone,0.0,0.0,0.0,BLR-0068
persistence,per-zone,0.0,0.0,0.0,BLR-0069
persistence,per-zone,0.0,0.0,0.0,BLR-0070
persistence,per-zone,0.0,0.0,0.0,BLR-0071
persistence,per-zone,0.0,0.0,0.0,BLR-0072
persistence,per-zone,0.0,0.0,0.0,BLR-0073
persistence,per-zone,0.0,0.0,0.0,BLR-0074
persistence,per-zone,0.0,0.0,0.0,BLR-0075
persistence,per-zone,0.0,0.0,0.0,BLR-0076
persistence,per-zone,0.0,0.0,0.0,BLR-0077
persistence,per-zone,0.0,0.0,0.0,BLR-0078
persistence,per-zone,0.0,0.0,0.0,BLR-0079
persistence,per-zone,0.0,0.0,0.0,BLR-0080
persistence,per-zone,0.0,0.0,0.0,BLR-0081
persistence,per-zone,0.0,0.0,0.0,BLR-0082
persistence,per-zone,0.0,0.0,0.0,BLR-0083
persistence,per-zone,0.0,0.0,0.0,BLR-0084
persistence,per-zone,0.0,0.0,0.0,BLR-0085
persistence,per-zone,0.0,0.0,0.0,BLR-0086
persistence,per-zone,0.0,0.0,0.0,BLR-0087
persistence,per-zone,0.0,0.0,0.0,BLR-0088
persistence,per-zone,0.0,0.0,0.0,BLR-0089
persistence,per-zone,0.0,0.0,0.0,BLR-0090
persistence,per-zone,0.0,0.0,0.0,BLR-0091
persistence,per-zone,0.0,0.0,0.0,BLR-0092
persistence,per-zone,0.0,0.0,0.0,BLR-0093
persistence,per-zone,0.0,0.0,0.0,BLR-0094
persistence,per-zone,0.0,0.0,0.0,BLR-0095
persistence,per-zone,0.0,0.0,0.0,BLR-0096
persistence,per-zone,0.0,0.0,0.0,BLR-0097
persistence,per-zone,0.0,0.0,0.0,BLR-0098
persistence,per-zone,0.0,0.0,0.0,BLR-0099
persistence,per-zone,0.0,0.0,0.0,BLR-0100
persistence,per-zone,0.0,0.0,0.0,BLR-0101
persistence,per-zone,0.0,0.0,0.0,BLR-0102
persistence,per-zone,0.0,0.0,0.0,BLR-0103
persistence,per-zone,0.0,0.0,0.0,BLR-0104
persistence,per-zone,0.0,0.0,0.0,BLR-0105
persistence,per-zone,0.0,0.0,0.0,BLR-0106
persistence,per-zone,0.0,0.0,0.0,BLR-0107
persistence,per-zone,0.0,0.0,0.0,BLR-0108
persistence,per-zone,0.0,0.0,0.0,BLR-0109
persistence,per-zone,0.0,0.0,0.0,BLR-0110
persistence,per-zone,0.0,0.0,0.0,BLR-0111
persistence,per-zone,0.0,0.0,0.0,BLR-0112
persistence,per-zone,0.0,0.0,0.0,BLR-0113
persistence,per-zone,0.0,0.0,0.0,BLR-0114
persistence,per-zone,0.0,0.0,0.0,BLR-0115
persistence,per-zone,0.0,0.0,0.0,BLR-0116
persistence,per-zone,0.0,0.0,0.0,BLR-0117
persistence,per-zone,0.0,0.0,0.0,BLR-0118
persistence,per-zone,0.0,0.0,0.0,BLR-0119
persistence,per-zone,0.0,0.0,0.0,BLR-0120
persistence,per-zone,0.0,0.0,0.0,BLR-0121
persistence,per-zone,0.0,0.0,0.0,BLR-0122
persistence,per-zone,0.0,0.0,0.0,BLR-0123
persistence,per-zone,0.0,0.0,0.0,BLR-0124
persistence,per-zone,0.0,0.0,0.0,BLR-0125
persistence,per-zone,0.0,0.0,0.0,BLR-0126
persistence,per-zone,0.0,0.0,0.0,BLR-0127
persistence,per-zone,0.0,0.0,0.0,BLR-0128
persistence,per-zone,0.0,0.0,0.0,BLR-0129
persistence,per-zone,0.0,0.0,0.0,BLR-0130
persistence,per-zone,0.0,0.0,0.0,BLR-0131
persistence,per-zone,0.0,0.0,0.0,BLR-0132
persistence,per-zone,0.0,0.0,0.0,BLR-0133
persistence,per-zone,0.0,0.0,0.0,BLR-0134
persistence,per-zone,0.0,0.0,0.0,BLR-0135
persistence,per-zone,0.0,0.0,0.0,BLR-0136
persistence,per-zone,0.0,0.0,0.0,BLR-0137
persistence,per-zone,0.0,0.0,0.0,BLR-0138
persistence,per-zone,0.0,0.0,0.0,BLR-0139
persistence,per-zone,0.0,0.0,0.0,BLR-0140
persistence,per-zone,0.0,0.0,0.0,BLR-0141
persistence,per-zone,0.0,0.0,0.0,BLR-0142
persistence,per-zone,0.0,0.0,0.0,BLR-0143
persistence,per-zone,0.0,0.0,0.0,BLR-0144
persistence,per-zone,0.0,0.0,0.0,BLR-0145
persistence,per-zone,0.0,0.0,0.0,BLR-0146
persistence,per-zone,0.0,0.0,0.0,BLR-0147
persistence,per-zone,0.0,0.0,0.0,BLR-0148
persistence,per-zone,0.0,0.0,0.0,BLR-0149
persistence,per-zone,0.0,0.0,0.0,BLR-0150
persistence,per-zone,0.0,0.0,0.0,BLR-0151
persistence,per-zone,0.0,0.0,0.0,BLR-0152
persistence,per-zone,0.0,0.0,0.0,BLR-0153
persistence,per-zone,0.0,0.0,0.0,BLR-0154
persistence,per-zone,0.0,0.0,0.0,BLR-0155
persistence,per-zone,0.0,0.0,0.0,BLR-0156
persistence,per-zone,0.0,0.0,0.0,BLR-0157
persistence,per-zone,0.0,0.0,0.0,BLR-0158
persistence,per-zone,0.0,0.0,0.0,BLR-0159
persistence,per-zone,0.0,0.0,0.0,BLR-0160
persistence,per-zone,0.0,0.0,0.0,BLR-0161
persistence,per-zone,0.0,0.0,0.0,BLR-0162
persistence,per-zone,0.0,0.0,0.0,BLR-0163
persistence,per-zone,0.0,0.0,0.0,BLR-0164
persistence,per-zone,0.0,0.0,0.0,BLR-0165
persistence,per-zone,0.0,0.0,0.0,BLR-0166
persistence,per-zone,0.0,0.0,0.0,BLR-0167
persistence,per-zone,0.0,0.0,0.0,BLR-0168
persistence,per-zone,0.0,0.0,0.0,BLR-0169
persistence,per-zone,0.0,0.0,0.0,BLR-0170
persistence,per-zone,0.0,0.0,0.0,BLR-0171
persistence,per-zone,0.0,0.0,0.0,BLR-0172
persistence,per-zone,0.0,0.0,0.0,BLR-0173
persistence,per-zone,0.0,0.0,0.0,BLR-0174
persistence,per-zone,0.0,0.0,0.0,BLR-0175
persistence,per-zone,0.0,0.0,0.0,BLR-0176
persistence,per-zone,0.0,0.0,0.0,BLR-0177
persistence,per-zone,0.0,0.0,0.0,BLR-0178
persistence,per-zone,0.0,0.0,0.0,BLR-0179
persistence,per-zone,0.0,0.0,0.0,BLR-0180
persistence,per-zone,0.0,0.0,0.0,BLR-0181
persistence,per-zone,0.0,0.0,0.0,BLR-0182
persistence,per-zone,0.0,0.0,0.0,BLR-0183
persistence,per-zone,0.0,0.0,0.0,BLR-0184
persistence,per-zone,0.0,0.0,0.0,BLR-0185
persistence,per-zone,0.0,0.0,0.0,BLR-0186
persistence,per-zone,0.0,0.0,0.0,BLR-0187
persistence,per-zone,0.0,0.0,0.0,BLR-0188
persistence,per-zone,0.0,0.0,0.0,BLR-0189
persistence,per-zone,0.0,0.0,0.0,BLR-0190
persistence,per-zone,0.0,0.0,0.0,BLR-0191
persistence,per-zone,0.0,0.0,0.0,BLR-0192
persistence,per-zone,0.0,0.0,0.0,BLR-0193
persistence,per-zone,0.0,0.0,0.0,BLR-0194
persistence,per-zone,0.0,0.0,0.0,BLR-0195
persistence,per-zone,0.0,0.0,0.0,BLR-0196
persistence,per-zone,0.0,0.0,0.0,BLR-0197
persistence,per-zone,0.0,0.0,0.0,BLR-0198
persistence,per-zone,0.0,0.0,0.0,BLR-0199
persistence,per-zone,0.0,0.0,0.0,BLR-0200
persistence,per-zone,0.0,0.0,0.0,BLR-0201
persistence,per-zone,0.0,0.0,0.0,BLR-0202
persistence,per-zone,0.0,0.0,0.0,BLR-0203
persistence,per-zone,0.0,0.0,0.0,BLR-0204
persistence,per-zone,0.0,0.0,0.0,BLR-0205
persistence,per-zone,0.0,0.0,0.0,BLR-0206
persistence,per-zone,0.0,0.0,0.0,BLR-0207
persistence,per-zone,0.0,0.0,0.0,BLR-0208
persistence,per-zone,0.0,0.0,0.0,BLR-0209
persistence,per-zone,0.0,0.0,0.0,BLR-0210
persistence,per-zone,0.0,0.0,0.0,BLR-0211
persistence,per-zone,0.0,0.0,0.0,BLR-0212
persistence,per-zone,0.0,0.0,0.0,BLR-0213
persistence,per-zone,0.0,0.0,0.0,BLR-0214
persistence,per-zone,0.0,0.0,0.0,BLR-0215
persistence,per-zone,0.0,0.0,0.0,BLR-0216
persistence,per-zone,0.0,0.0,0.0,BLR-0217
persistence,per-zone,0.0,0.0,0.0,BLR-0218
persistence,per-zone,0.0,0.0,0.0,BLR-0219
persistence,per-zone,0.0,0.0,0.0,BLR-0220
persistence,per-zone,0.0,0.0,0.0,BLR-0221
persistence,per-zone,0.0,0.0,0.0,BLR-0222
persistence,per-zone,0.0,0.0,0.0,BLR-0223
climatology,per-zone,35.642175305812266,3564217530.5812283,35.90535082008619,BLR-0001
climatology,per-zone,35.608947872709386,3560894787.270938,35.8688453141212,BLR-0002
climatology,per-zone,35.60959523448406,3560959523.448406,35.86949548765779,BLR-0003
climatology,per-zone,35.61030620255662,3561030620.2556624,35.87020935199816,BLR-0004
climatology,per-zone,35.612233647626525,3561223364.7626534,35.872138530583456,BLR-0005
climatology,per-zone,35.61343948224566,3561343948.224567,35.87334560721138,BLR-0006
climatology,per-zone,35.6030001779354,3560300017.79354,35.86007663081217,BLR-0007
climatology,per-zone,35.60406471297188,3560406471.2971873,35.861142550233644,BLR-0008
climatology,per-zone,35.78012426469085,3578012426.469085,35.98883410028714,BLR-0009
